raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_aflow,raw_g_depth,raw_hp,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_storage,distrib_press,distrib_lost,floor_area,pump_eng_hp,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_elev_change,calc_hp,total_energy_use_kBtu
1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3000,1,9,0,0,0,1,75,5,0,0,1,0,0,0,0,362570
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1140,0,12,0,0,0,1,86,0,0,0,0,0,0,0,0,1006826
0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,2600,3,1,0,0,0,1,0,0,4158,0,0,0,0,0,0,1227649
0,0,0,55,114,140,15,0,0,0.0,0.0,0.0,0,0,650000,1054,2305,0,0,0,149,81,10,0,0,70,1,7150,0,0,10240000
0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0,0,1800,0,0,0,0,0,1,80,10,0,0,1,1,1,0,0,408576
0,0,0,3,4,4,0,0,0,0.0,0.0,0.0,0,0,20000,35,76,0,0,0,18,100,0,13300,0,3,1,7,0,0,3951067
0,0,0,5,8,10,0,0,0,0.0,0.0,0.0,0,0,6000,9,80,0,0,0,12,75,0,29500,0,5,1,4,0,0,13969317
5,11,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0,10714,9,13,0,0,0,6,65,0,12700,0,5,0,0,0,0,3891200
5,11,20,0,0,0,0,0,0,0.0,0.0,0.0,0,0,10522,9,131,0,0,0,6,65,1,10303,0,5,0,0,0,0,5120000
0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,900,3,12,0,0,0,1,65,3,160,0,0,0,0,0,0,1193328
0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,8436
0,0,0,7,10,16,0,0,0,0.0,0.0,0.0,0,0,23000,25,100,0,0,0,10,60,36,20160,0,7,4,86,0,0,3616020
0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1500,4,26,0,0,0,2,70,2,3000,0,1,1,0,0,0,238772
0,0,0,18,20,24,24,0,0,0.0,0.0,0.0,0,0,83000,1500,1750,0,0,0,150,65,12,10000,0,42,2,30,0,0,10864058
1,1,1,1,1,2,0,0,0,0.0,0.0,0.0,0,0,2391,0,35,0,0,0,2,115,1,0,0,2,1,3,0,0,6907330
0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1000,4,30,0,0,0,2,100,0,0,0,0,0,0,0,0,6636035
0,0,0,2,2,3,0,0,0,0.0,0.0,0.0,0,0,15000,80,500,0,0,0,6,112,14,2700,0,2,3,200,0,0,18581400
0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0,0,1100,2,13,0,0,0,2,55,9,9482,0,1,2,15,0,0,4506733
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2398,8,10,0,0,0,1,0,0,300,0,0,0,0,0,0,1743
17,23,32,0,0,0,0,0,0,0.0,0.0,0.0,0,4000,13000,0,155,0,0,0,17,100,20,0,0,17,2,10,0,0,43877760
0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0,0,1100,2,13,0,0,0,2,56,9,9482,0,1,2,15,0,0,4506733
0,2,2,4,8,9,0,0,0,0.0,0.0,0.0,0,0,9000,29,150,0,0,0,5,0,15,0,0,4,2,2,0,0,27204391
0,0,0,1,1,2,0,0,0,0.0,0.0,0.0,0,1000,1700,2127,20,0,0,0,2,90,0,6280,0,1,1,9,0,0,6438293
0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1200,5,50,0,0,0,1,100,0,8610,0,0,1,1,0,0,2128714
0,0,0,0,1,2,0,0,0,0.0,0.0,0.0,0,0,2149,3,19,0,0,0,1,82,13,8912,0,0,0,4,0,0,3249814
