ID,Number of Grounds Water Sources,Average Ground Water Flow,Design Ground Water Flow,Maximum Ground Water Flow,Number of Surfaces Water Sources,Average Surface Water Flow,Design Surface Water Flow,Maximum Surface Water Flow,Number of Purchased Sources,Average Purchased Water Flow,Average Well Depth,Source Water Pumping HP,Total Number of Pumps,Average Ground Turbidity,Peak Ground Turbidity,Average Surface Turbidity,Peak Surface Turbidity,Algae Control,Disinfection,Oxidation,Iron Removal,Manganese Removal,Taste/Odor Control,TOC Removal,Particulate/Turbidity Removal,Softening,Recarbonation,Organic,Inorganic,Radionuclide,Aeration,Ultraviolet,Ozone,Upflow Clarification,Gravity Clarification,Dissolved Air Floatation Clarification,Flocculation,Direct Filtration,Slow Sand Filtration,Dual Stage Filtration,Rapid Rate Filtration,Diatomaceous earth Filtration,Pressure Filtration,Reverse Osmosis Membrane,Microfiltration Membrane,Ultrafiltration Membrane,Nanofiltration Membrane,Number of Treatment Plants,No Treatment,Gravity Thickening,Mechanical Dewatering,Centrifuge,Residual Pressure Filtration,Vacuum Filtration,Belt Press,Plate & Frame Press,Non-Mechanical Dewatering,Lagoon dewatering thickening,Sand Drying Bed,Freezing and Thawing,Total Average Daily Residuals,Population of Service Area,Size of Service Area,Length of Water Mains,High Elevation,Low Elevation,Distribution Pumping HP,Number of Distribution Pumps,Total Storage Volume,Average Distribution Pressure,Number of Distribution Zones,Unaccounted for Treated Water,Production Energy Use,Production Energy Peak,Poduction Cost,Treatment Energy Use,Treatment Energy Peak,Treatment Energy Cost,Distribution Energy Use,Distribution Energy Peak,Distribution Energy Cost,Total Energy Use,Total Energy Peak,Total Energy Cost,Total Building Area,Natural Gas Use,Natural Gas Cost,Engine Driven Pumps,Engine Driven Pump HP,Engine Driven Pump Fuel Type,Purchased Energy,Purchased Energy Source,Amount of Purchased Energy,Purcahsed Energy Cost,Regularly Checked Utility Bills,Extraordinary Events,Additional Comments,Total Average Flow,Average raw turbidity,Peak raw turbidity,Treatment for metals (iron mang),Treatment for contaminates (organic inorganic radon),Difference between highest and lowest system elevation,Total system hp
id,raw_g_num,raw_g_aflow,raw_g_dflow,raw_g_mflow,raw_s_num,raw_s_aflow,raw_s_dflow,raw_s_mflow,raw_p_num,raw_p_aflow,raw_g_depth,raw_hp,raw_npump,raw_g_antu,raw_g_pntu,raw_s_antu,raw_s_pntu,treat_algae,treat_disinf,treat_ox,treat_iron,treat_mang,treat_odor,treat_TOC,treat_turb,treat_soft,treat_recarb,treat_organic,treat_inorganic,treat_radon,process_aerate,process_UV,process_OZ,process_clar_up,process_clar_gravity,process_clar_daf,process_floc,process_filtr_direct,process_filtr_sand,process_filtr_dual,process_filtr_rapid,process_filtr_dearth,process_filtr_press,process_mem_rosmos,process_mem_micfiltr,process_mem_ultfiltr,process_mem_nanofiltr,utility_nplants,res_none,res_gravity,res_dewat_mech,res_cent,res_press_filtr,res_vac_filtr,res_bpress,res_ppress,res_dewat_nmech,res_lagoon,res_sand,res_frz,res_weight,distrib_pop,distrib_area,distrib_main,distrib_high,distrib_low,distrib_hp,distrib_npump,distrib_storage,distrib_press,distrib_nzones,distrib_lost,raw_kwh,raw_kw,raw_cost,treat_kwh,treat_kw,treat_cost,distrib_kwh,distrib_kw,distrib_cost,utility_kwh,utility_kw,utility_cost,floor_area,ngas_use,ngas_cost,pump_eng,pump_eng_hp,pump_eng_fuel,oenergy_purch,oenergy_type,oenergy_amount,oenergy_cost,check_util,extra_event,notes,calc_flow,calc_NTU_avg,calc_NTU_peak,calc_metals,calc_contam,calc_elev_change,calc_hp
NC004,0,0,0,0,0,0,0,0,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10657,30,150,1558,1220,50,12,1.4,50,5,12,0,0,0,0,0,0,1851246,0,216052,1851246,0,216052,0,0,0,0,0,,0,,,0,1,0,,0.7,0,0,0,0,338,50
NC005,0,0,0,0,2,43.2,0,97,0,0,0,8835,6,0,0,30,462,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,280000,0,1900,1140,890,15630,35,54.5,80,5,10,28765720,0,1534949,0,0,0,8743330,0,548552,37509050,0,2083501,0,43952,44443,1,4530,Diesel,1,Diesel,35708 Gallons,55347,1,0,,43.2,30,0,0,0,250,24465
NC006,0,0,0,0,2,2.99,4.6,7.2,0,0,0,600,2,0,0,3.83,13,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,12000,15,105,880,490,350,3,5,80,2,20,1225328,128440,72329,872480,83040,47410,0,0,0,2097808,0,119739,10980,0,0,1,240,Diesel,0,,,0,1,0,,2.99,3.83,20,1,0,390,950
NC007,0,0,0,0,1,1.85,2.56,3,0,0,0,120,2,0,0,53,1028,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21000,125,350,1258,868,850,5,5.06,75,3,12,0,0,0,2020372,0,98478,369983,0,23982,2390983,0,122460,13000,0,0,0,0,,0,,,0,1,0,,1.85,53,1422.5,0,1,390,970
NC008,6,2,4,4,0,6,8,16,0,0,150,250,2,0,0,6,24,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22500,0,225,0,0,450,2,9,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,8,4.5,24,1,1,0,700
NC009,16,2.64,3.64,8,0,0,0,0,0,0,196,580,16,0.34,0.78,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20552,85,172,225,180,275,2,3.85,78,0,19,956434,19320,87549,170240,25120,15691,108250,14900,10511,1234924,59340,113751,5156,0,0,0,0,,0,,,0,1,0,,2.64,0.34,0.8,1,0,45,855
NC010,0,0,0,0,1,2.59,3.72,6,0,0,0,250,2,0,0,10,47,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11138,12,120,116,30,625,3,3.1,68,2,6.4,0,0,0,0,0,0,248255578,55956,16930986,248255578,0,16930986,0,0,0,1,180,Diesel,0,,,0,1,0,The energy use and cost for this municipality does not look like it is correct  It seems highly unlikely that with a pop under 12k and an average flow of 2.6 MGD that they could use $16 million worth of electricity,2.59,10,67.5,1,1,86,875
NC011,9,0,0,4.2,1,16,25.2,26,0,0,0,1850,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6200,126500,0,750,0,0,2500,6,5,75,1,20,0,0,0,0,0,0,0,0,0,10369500,0,540413,75000,0,0,0,0,,0,,,0,1,0,,16,0,0,1,1,0,4350
NC012,21,6.45,9.7,9.1,0,0,0,0,0,0,593,1795,21,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,103756,578,910,70,32,1925,18,9.72,70,0,10,5431621,705269,454851,1782420,197160,168418,149843,27546,38253,7363884,929975,661522,18432,0,0,0,0,,0,,,0,0,0,,6.45,0,0,1,1,38,3720
NC013,0,0,0,0,1,9.77,13.67,22.5,0,0,0,600,4,0,0,6.47,23.2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2818,76000,116,550,75,10,2200,4,8.5,60,1,8.99,7542773,745240,402541,0,0,0,0,0,0,7542773,745240,402541,57000,4908,6252,0,0,,0,,,0,1,1,The distribution system was unidirectionally flushed  Approximately 63 mg of water was used during flushing,9.77,6.47,32.5,1,1,65,2800
ND001,0,0,0,0,2,10.95,18.1,30,0,0,0,525,5,0,0,54.3,1514,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,155184,98000,44.44,413.12,912,892,1850,5,11.75,50,1,13.8,0,0,0,0,0,0,0,0,0,8934137,1670.4,353929,109870,0,247026,0,0,,1,Diesel oil,16980 Gallons,22142,1,0,,10.95,54.3,2502.6,0,1,20,2375
NE001,40,27.9,51.3,75,2,10.8,20.7,35,0,0,84,5095,46,0.07,0.32,0.1,1.48,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,238750,81.72,1131.9,1440,1130,9850,20,104.5,65,6,3.75,9041046,2422,479353,14326997,1452,471642,21205900,8188,1215886,44573943,12062,2166881,0,292526,242962,1,3900,Diesel,1,Disel,13950 gallons,17437,1,0,,38.7,0.078372093,1,1,0,310,14945
NH001,0,0,0,0,0,1.99,2.67,5,0,0,0,140,3,0,0,0.08,0.1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,46,116,580,190,284,10,4.3,60,4,15,0,0,0,290020,37006,35142,195505,19829,26361,485525,56835,61503,14497,0,0,0,0,,1,Oil,8300 Gallons,7178,1,0,,1.99,0.08,0.1,0,1,390,424
NJ001,5,3.75,5,5,0,0,0,0,0,0,800,450,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500,2.5,0,0,0,0,0,2.25,50,0,10,0,0,0,0,0,0,0,0,0,0,0,125000,0,0,0,0,0,,0,,,0,0,0,Their 2004 energy data is not accessible however the data shown above is their energy cost for thus far in 2005 (Jan - Aug),3.75,0,0,0,0,0,450
NJ002,13,4.09,9.85,18.6,0,0,0,0,0,0,299,770,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,18458,7,109,20,5,430,2,3.55,48,1,4.33,0,0,0,0,0,0,0,0,0,2498486,781.6,297704,10000,0,0,1,550,Diesel,0,,,0,1,1,,4.09,0,0,0,0,15,1200
NJ003,9,2,9,11,0,0,0,0,2,3,700,910,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,45000,100,200,208,60,450,5,6.6,65,2,8,0,0,0,0,0,0,0,0,0,0,0,197881,10000,0,0,1,300,Diesel,0,,,0,1,0,,5,0,0,1,0,148,1360
NJ004,0,0,0,0,3,37.82,83.28,100,0,0,0,600,3,0,0,4.76,13.1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,12290,800000,24,550,683,40,9220,14,250,90,8,10,0,0,0,0,0,0,0,0,0,24875030,5961,2000000,200000,0,0,0,0,,0,,,0,1,0,,37.82,4.76,28.8,1,1,643,9820
OH001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000,435,3500,1190,903,37158,116,72,67,14,23,0,0,0,0,0,0,16517942,0,1100000,16517942,0,1100000,6000,0,50000,0,0,,1,Diesel,2500 gallons,4475,1,0,Surveys for Columbus OH were sent together  They have 3 plants and gave us surveys for those three plants  The information for them have been written in OH2504412ABC  This is general information for all 3 plants,0,0,0,0,0,287,37158
OH002,0,0,0,0,1,60,76,65,0,0,0,1320,4,0,0,54,387,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24284497,2143,1240460,0,0,0,24284497,0,1240460,0,0,321136,0,0,,0,,,0,0,0,,60,54,490.2,0,1,0,1320
OH003,0,0,0,0,1,68.8,102.33,100,0,0,0,1500,12,0,0,20,218,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25764053,5290,1459672,0,0,0,25764053,0,1459672,0,0,179900,0,0,,0,,,0,1,0,,68.8,20,324.2,0,1,0,1500
OH004,4,18.7,21.4,33.6,0,0,0,0,0,0,84,950,7,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780667,2674,753354,0,0,0,0,0,0,3780667,0,753354,137000,0,41887,0,0,,0,,,0,0,0,They would regularly check utility bills but getting them is like pulling teeth,18.7,0,0,0,0,0,950
OH005,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,1000,500,1000,800,1095,17,3.73,65,12,5,0,0,0,0,0,0,0,0,132065,0,0,132065,0,0,0,0,0,,0,,,0,0,0,,1.5,0,0,0,0,200,1095
OH006,0,0,0,0,1,1.11,2.02,3,0,0,0,200,2,0,0,30,276,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25895,11647,15,80,902,865,300,3,2.55,60,2,4,0,0,0,0,0,0,0,0,0,0,0,68082,35000,0,10373,0,0,,0,,,0,1,0,,1.11,30,502.3,0,1,37,500
OH007,0,0,0,0,3,2.6,3.8,2.2,0,0,0,300,2,0,0,21,44,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,20500,12,108,967,858,385,3,17.5,65,3,26,514299,54729,30362,1610400,149760,80410,574296,76783,30296,2698995,0,141068,0,0,0,0,0,,0,,,0,1,0,,2.6,21,64.3,0,1,109,685
OH008,19,22.2,27.3,40.91,0,0,0,0,0,0,167,1860,19,4.2,16.5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,140000,91,646,1170,1000,300,3,26.5,70,2,20,0,0,0,0,0,0,0,0,0,15594200,2540,669549,63000,0,0,0,0,,0,,,0,0,0,,22.2,4.2,16.5,1,0,170,2160
OK001,0,0,0,0,3,98.23,141.75,220,0,0,0,12200,15,0,0,3.92,4.64,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,82200,400000,900,2325.2,880,570,1625,23,102,70,8,8.62,0,0,0,61064350,0,3372217,2021846,0,133279,63086196,0,3505496,30534,181733,131592,0,0,,1,Propane,,0,1,0,There was no propane purchase for the last year,98.23,3.92,6.7,0,1,310,13825
OK002,0,0,0,0,0,0,0,0,1,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83000,53,460,765,490,3000,9,11,90,2,6,0,0,0,0,0,0,0,0,410438,0,0,410438,2500,0,0,0,0,,0,,,0,1,1,,10.5,0,0,0,0,275,3000
OK003,0,0,0,0,0,3.9,9,9,0,0,0,0,0,0,0,3.6,130,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2780,18000,5,150,698,610,925,3,4,60,6,3,821100,7.75,2,0,0,0,0,0,0,821100,0,0,0,0,10574,0,0,,0,,,0,1,0,,3.9,3.6,300,0,1,88,925
OR001,10,5,12,14,0,0,0,0,0,0,500,1125,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23000,300,350,3960,3174,427,16,11.22,60,36,0,0,0,414996,0,0,0,0,0,0,0,0,414996,0,0,0,0,0,,0,,,0,0,0,,5,0,0,0,0,786,1552
OR002,0,0,0,0,1,5,10.2,20,0,0,0,300,4,0,0,5,165,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,550,24000,5.5,180,1560,900,1585,38,19.2,65,5,8,0,0,0,2974478,1129,171047,813640,0,68086,3788118,0,239133,0,0,0,0,0,,0,,,0,1,0,,5,5,336.6,0,0,660,1885
OR003,26,2.9,37.2,94.78,1,99.2,186.4,225,2,0,383.4,6940,26,0.2,1.6,0.5,3.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,782300,137,1957,1270,7,14668,106,282,76,161,5.4,5495179,9355,707758,0,0,0,16860771,5432,1187059,22355950,0,1894818,0,44590,43756,1,900,Diesel Natural Gas,1,Green Tags,,13000,1,1,Plant energy was impacted by groundwater run  Additionaly Green Tags help fund the use of renewable energy for the plant.  The $13000 figure was purchased for 3 years (2003 2004 2005),102.1,0.491478942,6.6,0,0,1263,21608
PA001,6,0.7,1,1.4,0,0,0,0,0,0,400,195,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200,2.5,44,600,240,0,0,2.75,58,25,8,583404,0,61975,0,0,0,0,0,0,583404,0,61975,0,0,0,0,0,,0,,,0,0,0,,0.7,0,0,0,1,360,195
PA002,0,0,0,0,0,0,0,0,0,0,0,300,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3000,25000,12,9.2,0,0,1900,4,7.5,165,16,3,0,0,0,3812400,696.6,233022,0,0,0,3812400,696.6,233022,20000,0,0,0,0,,0,,,0,1,0,,0,0,0,1,0,0,2200
PA003,25,4.89,6.89,9.1,1,0.45,0.86,2,0,0,250,2750,23,0.01,5,0.2,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,80,70000,35,215,1440,1200,600,13,15,55,6,11,2400000,200,156000,1500000,250,72000,370000,28,22000,7600000,0,250000,23000,0,0,0,0,,1,Propane,9500 gallons,12000,1,0,,5.34,0.026011236,11,0,0,240,3350
PA004,0,0,0,0,1,2.73,3.57,4,0,0,0,50,1,0,0,0,1447,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21500,22.5,68,945,490,420,4,3.49,72,4,92,1586560,315,115000,0,0,0,368462,100,29845,1955022,0,144845,16000,8888,8943,0,0,,0,,,0,1,0,,2.73,0,1892.2,0,0,455,470
PA005,0,0,0,0,0,1.5,2,0,0,0,0,15,3,0,0,18,700,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,15,45,915,605,25,2,1300000,50,4,21,0,0,0,0,0,0,0,0,0,0,0,75600,0,0,0,0,0,,0,,,0,1,0,,1.5,18,933.3,0,1,310,40
PA006,5,0,0,0,1,3.25,3.5,0,0,0,350,0,5,10,200,1,8,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33000,150,200,1034,490,20,1,6.5,75,14,25,22499,60.3,5913,281074,133.6,23025,24183,56.8,6631,327756,250.7,35569,17500,0,0,0,0,,1,Propane,11489.6  Gallons,12698,1,1,,3.25,1,8.6,1,1,544,20
PA007,0,0,0,0,0,36.6,49.6,50.1,0,0,0,1050,5,0,0,25,683,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,55000,517014,533,1597,1480,710,2900,104,59.8,110,43,33,31823059,4850,1576464,0,0,0,0,0,0,31823059,4850,1576464,0,0,0,0,0,,0,,,0,1,0,,36.6,25,925.6,1,1,770,3950
PA008,0,0,0,0,0,42.1,59.2,60,0,0,0,7600,9,0,0,30,345,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,55000,517014,533,1597,1480,710,2900,104,59.8,110,43,33,51559017,5190,2887305,0,0,0,0,0,0,51559017,5190,2887305,0,0,0,0,0,,0,,,0,1,0,,42.1,30,485.1,1,1,770,10500
PA009,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,23.6,160,0,0,0,2,5,110,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,2.2,0,0,0,0,0,0
PA010,0,0,0,0,1,6.5,8,12,2,0.02,0,600,7,0,0,4,150,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2000,35000,300,320,1700,900,500,11,16,100,0,30,7692307,1000,400000,1923076,800,100000,2307692,1200,120000,11923075,0,620000,4500,2100,0,0,0,,0,,,0,1,0,,6.52,4,184.6,0,1,800,1100
PA011,0,0,0,0,1,4.08,4.75,9,0,0,0,150,3,0,0,10,276,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,28000,30,106,1313,760,625,3,10,80,3,25,528290,370400,166566,176096,88048,83283,1721254,1377004,133260,2425640,5165452,216536,16820,12142,16484,0,0,,0,,,0,1,0,,4.08,10,321.3,1,1,553,775
PA012,0,0,0,0,1,27.8,34.7,66,0,0,0,2300,5,0,0,9.9,93,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4203,200000,52,685,1243,571,2025,12,66,74,8,15,16495421,3273,987970,0,0,0,6969549,1419,489369,23464970,0,1477339,90000,0,128286,0,0,,1,Propane Diesel,824 gal propane 400 gal diesel,0,1,1,,27.8,9.9,116.1,0,0,672,4325
PA013,2,1.3,3.1,3.1,1,0.7,1,1.3,0,0,600,225,2,0.5,1,3,12,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,16000,100,125,1100,600,310,5,2.65,65,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,1,0,,2,1.375,6.7,0,1,500,535
PA014,3,0.75,0,0,0,0,0,0,0,0,301,350,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9586,50,61,650,480,200,3,6.5,50,2,15,0,0,0,0,0,0,1044824,0,82114,1044824,0,82114,1800,0,0,0,0,,0,,,0,1,0,,0.75,0,0,0,0,170,550
SC001,8,6.7,8.1,11.4,1,1.7,3.42,8,0,0,350,1100,9,0.02,0.02,15,45,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,32,350,535,330,1900,16,2.6,85,1,20,0,0,0,0,0,0,0,0,0,6551600,0,445377,0,0,0,0,0,,0,,,0,1,0,,8.4,3.051666667,18.3,0,1,205,3000
SD001,10,6,17,18,2,6,8,40,0,0,1500,2330,23,0,0,0.04,0.11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68430,61,359,3994,3406,800,16,20,60,11,11,6741530,2115,397475,0,0,0,2393775,1000,158330,9135305,0,555805,95000,22295,17655,0,0,,0,,,0,1,1,,12,0.02,0.1,0,0,588,3130
SD002,0,0,0,0,2,2.3,5.52,8,0,0,0,255,5,0,0,10,40,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,11700,13000,8,85,0,0,750,6,4.3,55,2,12,0,0,0,0,0,0,0,0,0,0,0,128000,0,0,0,0,0,,0,,,0,0,0,,2.3,10,96,0,1,0,1005
TN001,0,0,0,0,1,1.68,2.29,4,1,29.9,0,100,3,0,0,12.71,215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,400,21000,1200,1000,1382,800,152.5,4,4.9,85,6,15,482800,200,36158,1036800,200,76086,151.54,41,13500,1671141,0,125744,18000,0,0,0,0,,0,,,0,1,0,,31.58,12.71,293.1,0,0,582,252.5
TX001,0,0,0,0,0,12.9,26.8,33,0,0,0,2035,7,0,0,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,98000,120,839,510,242,3690,15,17,55,2,8,0,0,0,0,0,0,0,0,0,0,0,1096193,0,0,235266,0,0,,0,,,0,0,0,,12.9,12,60.2,0,0,268,5725
